sku,name,brand,price,special_price,url,image,discount
92495SHFB80188GS,910 Nineten Nakami Swish Sepatu Training- Hitam/Putih,910,Rp 699.900,Rp 629.900,https://www.zalora.co.id/p/910-910-nineten-nakami-swish-sepatu-training-hitam-putih-black-white-4768691,https://dynamic.zacdn.com/mVNk1lspQu-OjkjjZ0Aeta7U4xA=/0x770/filters:quality(70):format(webp)/https://static-id.zacdn.com/p/910-6814-1968674-1.jpg,10% OFF
A4055SHBA3D055GS,Speed Swift Shoes,Under Armour,Rp 1.059.000,,https://www.zalora.co.id/p/under-armour-speed-swift-shoes-grey-4775063,https://dynamic.zacdn.com/tgH3GZENFKIDcAkFem3N5o2XW-Y=/0x770/filters:quality(70):format(webp)/https://static-id.zacdn.com/p/under-armour-4662-3605774-1.jpg,
C6789SHD286F4FGS,Cloudswift 4 Running Shoes,On,Rp 2.700.000,,https://www.zalora.co.id/p/on-cloudswift-4-running-shoes-navy-4906193,https://dynamic.zacdn.com/KHq1giWvOjUgV0IoLbwnR1-1XUc=/0x770/filters:quality(70):format(webp)/https://static-id.zacdn.com/p/on-4487-3916094-1.jpg,
17C58SH12E6969GS,Revolution 8 Road Running Shoes,Nike,Rp 869.000,,https://www.zalora.co.id/p/nike-revolution-8-road-running-shoes-white-4905063,https://dynamic.zacdn.com/1S8SP-J6ZSLivU5xhRQlsFbQ4Cw=/0x770/filters:quality(70):format(webp)/https://static-id.zacdn.com/p/nike-4629-3605094-1.jpg,
41D36SHD9C4BDEGS,ASICS Men GT-2000 14 Standard-1011C056.400,ASICS,Rp 2.099.000,,https://www.zalora.co.id/p/asics-asics-men-gt-2000-14-standard-1011c056-400-multi-5051812,https://dynamic.zacdn.com/1VmxPgtSY0zpCieCCwrxq4W_ZAE=/0x770/filters:quality(70):format(webp)/https://static-id.zacdn.com/p/asics-9529-2181505-1.jpg,
8DE49SHFF18D28GS,Metcon 10 Shoes,Nike,Rp 2.379.000,,https://www.zalora.co.id/p/nike-metcon-10-shoes-black-4976229,https://dynamic.zacdn.com/_UqbN_ZAAT18yidhgHS_Yv3eECA=/0x770/filters:quality(70):format(webp)/https://static-id.zacdn.com/p/nike-3679-9226794-1.jpg,
F8ED8SHDB11FD0GS,910 Nineten Geist Ekiden Glide Sepatu Lari - Hitam/Merah/Biru-Md,910,Rp 599.900,Rp 569.900,https://www.zalora.co.id/p/910-910-nineten-geist-ekiden-glide-sepatu-lari-hitam-merah-biru-md-black-blue-red-4359798,https://dynamic.zacdn.com/UFtAPndlwZrOecOUz8KlItyztAw=/0x770/filters:quality(70):format(webp)/https://static-id.zacdn.com/p/910-0070-8979534-1.jpg,5% OFF
10487SH272AA22GS,Eagle Sepatu Running Nomad - BIRU TUA/ABU MUDA,Eagle,Rp 319.900,,https://www.zalora.co.id/p/eagle-eagle-sepatu-running-nomad-biru-tua-abu-muda-4439064,https://dynamic.zacdn.com/giXSmGlc_XjxUwi8n7UgLS-gxjk=/0x770/filters:quality(70):format(webp)/https://static-id.zacdn.com/p/eagle-9892-4609344-1.jpg,
EFCE0SH1469414GS,Pursuit 4 Shoes,Under Armour,Rp 999.000,,https://www.zalora.co.id/p/under-armour-pursuit-4-shoes-grey-4774810,https://dynamic.zacdn.com/S9DW3BIgbUCkZZep6heGWPgv_q4=/0x770/filters:quality(70):format(webp)/https://static-id.zacdn.com/p/under-armour-8504-0184774-1.jpg,
785CCSHB57A506GS,Propel,New Balance,Rp 2.099.000,Rp 1.679.200,https://www.zalora.co.id/p/new-balance-propel-multi-4828742,https://dynamic.zacdn.com/hxTjFDD7Orfu4rtjWb6hHu8S8pk=/0x770/filters:quality(70):format(webp)/https://static-id.zacdn.com/p/new-balance-7022-2478284-1.jpg,20% OFF
756AESHC326F3BGS,Nike Quest 6,Nike,Rp 1.199.000,,https://www.zalora.co.id/p/nike-nike-quest-6-black-5062095,https://dynamic.zacdn.com/gUTN7plDqEFmd2_RsD2k1UMWVeY=/0x770/filters:quality(70):format(webp)/https://static-id.zacdn.com/p/nike-5617-5902605-1.jpg,
5C288SH584699AGS,Downshifter 13 Shoes,Nike,Rp 899.000,Rp 764.150,https://www.zalora.co.id/p/nike-downshifter-13-shoes-black-4344674,https://dynamic.zacdn.com/jNyFDlL5mOgmsalGuanf757LX7A=/0x770/filters:quality(70):format(webp)/https://static-id.zacdn.com/p/nike-0484-4764434-1.jpg,15% OFF
8AB87SHB4A7491GS,Adizero SL 2,ADIDAS,Rp 2.000.000,,https://www.zalora.co.id/p/adidas-adizero-sl-2-white-4983437,https://dynamic.zacdn.com/05tqkRuXv_MgHvq2k3E7BkGnIPs=/0x770/filters:quality(70):format(webp)/https://static-id.zacdn.com/p/adidas-2623-7343894-1.jpg,
E23ECSHC0F5A5CGS,V5 RNR Men's Shoes,Nike,Rp 1.399.000,,https://www.zalora.co.id/p/nike-v5-rnr-men-s-shoes-white-4975917,https://dynamic.zacdn.com/_DdCk1RqxbHkoDhI1XUp_yo9oI4=/0x770/filters:quality(70):format(webp)/https://static-id.zacdn.com/p/nike-2128-7195794-1.jpg,
9B11BSHE741CC4GS,Advantage 2.0 Shoes,ADIDAS,Rp 950.000,Rp 902.500,https://www.zalora.co.id/p/adidas-advantage-2-0-shoes-black-4493319,https://dynamic.zacdn.com/vCCRKaTeJpNXjKwjTD8lDlcScVs=/0x770/filters:quality(70):format(webp)/https://static-id.zacdn.com/p/adidas-3643-9133944-1.jpg,5% OFF
5619CSH2DA112EGS,Duramo Speed Shoes,ADIDAS,Rp 1.400.000,Rp 1.120.000,https://www.zalora.co.id/p/adidas-duramo-speed-shoes-grey-4493256,https://dynamic.zacdn.com/pWjlyBdKjyrKa00NGSfNPpWpnwM=/0x770/filters:quality(70):format(webp)/https://static-id.zacdn.com/p/adidas-8942-6523944-1.jpg,20% OFF
69E94SHC22B71CGS,Cloudrunner 2 Waterproof Running Shoes,On,Rp 2.900.000,,https://www.zalora.co.id/p/on-cloudrunner-2-waterproof-running-shoes-multi-4826100,https://dynamic.zacdn.com/vnwaSZmQ-xUUPx_TkY8UImRdqMI=/0x770/filters:quality(70):format(webp)/https://static-id.zacdn.com/p/on-5322-0016284-1.jpg,
02162SHDAF6842GS,ASICS Men Gel-Kayano 32 Standard-1011C052.101,ASICS,Rp 2.599.000,Rp 2.339.100,https://www.zalora.co.id/p/asics-asics-men-gel-kayano-32-standard-1011c052-101-4972513,https://dynamic.zacdn.com/gY0nULeHgN-4MNcWqumZRisOcgY=/0x770/filters:quality(70):format(webp)/https://static-id.zacdn.com/p/asics-0680-3152794-1.jpg,10% OFF
F4AACSHE2A8339GS,Revolution 6 Road Running Shoes,Nike,Rp 799.000,,https://www.zalora.co.id/p/nike-revolution-6-road-running-shoes-grey-4904203,https://dynamic.zacdn.com/JtQ-blqiibwseI6eFOxRpVAurgA=/0x770/filters:quality(70):format(webp)/https://static-id.zacdn.com/p/nike-0919-3024094-1.jpg,
28C02SH6618DA6GS,Supernova Ease Shoes,ADIDAS,Rp 1.500.000,Rp 1.425.000,https://www.zalora.co.id/p/adidas-supernova-ease-shoes-white-4870509,https://dynamic.zacdn.com/3aeF6RBUIFQRvZs0ai5uY8srQZo=/0x770/filters:quality(70):format(webp)/https://static-id.zacdn.com/p/adidas-4127-9050784-1.jpg,5% OFF
65341SH6EB4A74GS,Revolution 7 Shoes,Nike,Rp 809.000,,https://www.zalora.co.id/p/nike-revolution-7-shoes-black-4788316,https://dynamic.zacdn.com/lwWahDLHtCO21Q5mkNSpHu7-PMw=/0x770/filters:quality(70):format(webp)/https://static-id.zacdn.com/p/nike-6280-6138874-1.jpg,
CA940SH120238BGS,Men's HOVR Sonic 6 Running Shoes,Under Armour,Rp 2.099.000,,https://www.zalora.co.id/p/under-armour-men-s-hovr-sonic-6-running-shoes-white-4402759,https://dynamic.zacdn.com/UEM_qbIp8o75oFlIl00TIPiPMqw=/0x770/filters:quality(70):format(webp)/https://static-id.zacdn.com/p/under-armour-2813-9572044-1.jpg,
18812SH0DE07B6GS,Nike Air Max Excee,Nike,Rp 1.279.000,Rp 1.151.100,https://www.zalora.co.id/p/nike-nike-air-max-excee-multi-5040048,https://dynamic.zacdn.com/1Ffpfz8n8J-BQUPSsUskLqO1a4o=/0x770/filters:quality(70):format(webp)/https://static-id.zacdn.com/p/nike-2415-8400405-1.jpg,10% OFF
21745SH5752FABGS,910nineten HAZE PRO sepatu lari - Orange/Putih-Gading/Biru Tosca,910,Rp 1.599.900,Rp 1.499.900,https://www.zalora.co.id/p/910-910nineten-haze-pro-sepatu-lari-orange-putih-gading-biru-tosca-orange-4451126,https://dynamic.zacdn.com/xTDxTS2VbgKJ0xoNndoY_msuce0=/0x770/filters:quality(70):format(webp)/https://static-id.zacdn.com/p/910-9122-6211544-1.jpg,6% OFF
B37B9SHE2670E3GS,Pegasus 41 Running Shoes,Nike,Rp 2.099.000,Rp 1.679.200,https://www.zalora.co.id/p/nike-pegasus-41-running-shoes-white-4788075,https://dynamic.zacdn.com/DDhdFJgG2LnTRT7NsSA2d3FPt2A=/0x770/filters:quality(70):format(webp)/https://static-id.zacdn.com/p/nike-2962-5708874-1.jpg,20% OFF
19BEESHF9455EEGS,Jackson Active Hooper 1 Black,Jackson,Rp 799.000,Rp 379.000,https://www.zalora.co.id/p/jackson-jackson-active-hooper-1-black-black-3929166,https://dynamic.zacdn.com/QyrLRqeHExYDROLMxFYgizyQZvM=/0x770/filters:quality(70):format(webp)/https://static-id.zacdn.com/p/jackson-3998-6619293-1.jpg,53% OFF
AC914SH702D205GS,Men's Surge 4 Running Shoes,Under Armour,Rp 999.000,Rp 849.150,https://www.zalora.co.id/p/under-armour-men-s-surge-4-running-shoes-blue-4403622,https://dynamic.zacdn.com/qIZqM2z_X34AyBPJHAeZLBvlEGs=/0x770/filters:quality(70):format(webp)/https://static-id.zacdn.com/p/under-armour-4837-2263044-1.jpg,15% OFF
D9223SHA66896CGS,PUMA Softride One4all Running Shoes Men,PUMA,Rp 1.099.000,,https://www.zalora.co.id/p/puma-puma-softride-one4all-running-shoes-men-black-5028421,https://dynamic.zacdn.com/9TV6bl2g0fZmuYBAkCauvctmoWQ=/0x770/filters:quality(70):format(webp)/https://static-id.zacdn.com/p/puma-7120-1248205-1.jpg,
